feature,importance
TotalCharges_810.7,0.0032748914518111972
TotalCharges_1345.55,0.00327413270797078
TotalCharges_5629.55,0.003256117412698358
TotalCharges_1096.25,0.003217829222789964
TotalCharges_1375.15,0.003213733699829708
TotalCharges_3344.1,0.003105056469397577
TotalCharges_161.45,0.0030194925585887017
TotalCharges_4913.3,0.00299971640278679
TotalCharges_346.45,0.0029231807590524013
TotalCharges_503.6,0.0029160948000416975
TotalCharges_1164.05,0.002864070633975457
Partner_Yes,0.0028338452698217238
TotalCharges_1931.75,0.0027257325749165933
TotalCharges_3105.55,0.00263813205252164
TotalCharges_37.2,0.0026280356708767226
TotalCharges_50.45,0.0026043584765107937
TotalCharges_6792.45,0.0025784489645605886
TotalCharges_266.95,0.0025696769787237877
TotalCharges_1783.6,0.00251013518035953
TotalCharges_302.75,0.002451004338325465
TotalCharges_1031.4,0.0023292208842579597
TotalCharges_5809.75,0.002260954312686059
TotalCharges_101.9,0.0022434354753042914
TotalCharges_434.5,0.0022394935942560332
TotalCharges_587.1,0.0021775022018248897
TotalCharges_4525.8,0.002042260474370734
TotalCharges_3437.45,0.002034454335870331
TotalCharges_1842.8,0.001873730327800425
TotalCharges_799,0.0018443656117707802
TotalCharges_512.45,0.0017808883445630504
TotalCharges_3132.75,0.0016552657956000196
TotalCharges_299.3,0.0016518667630227883
TotalCharges_453.4,0.0016388765395815932
TotalCharges_371.65,0.0015665579593184542
TotalCharges_5608.4,0.0015588917634525026
TotalCharges_69.5,0.0014999715640911634
TotalCharges_1580.1,0.0014787291482363152
TotalCharges_7222.75,0.0013705721738218426
MultipleLines_No phone service,0.0010950291779860454
TotalCharges_341.35,0.0010903104386805927
TotalCharges_467.15,0.0010507993623317623
TotalCharges_6717.9,0.001038619108823857
TotalCharges_187.45,0.0009798773572482807
Total_Services,0.0009277236010288964
TotalCharges_340.35,0.0009177117270660133
TotalCharges_1381.2,0.0009030077529870047
TotalCharges_3808,0.0008793099919528944
TotalCharges_178.7,0.0008714523036994999
TotalCharges_4917.75,0.0008591176984430195
TotalCharges_7039.45,0.0008511819107002904
Tenure_4+ Years,0.0008429000564775133
TotalCharges_733.55,0.0007354717808184128
TotalCharges_452.2,0.0007084381132708489
